"Fix ID","Type","Type name","Family","Page","Page slug","Page ID","Where stored","Current value","Change to","Why","Effort","Renders today","v2 ID","Status","Assigned to","Date fixed","Notes"
"T2-28","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379907 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-29","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379929 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-30","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379951 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-31","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379955 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-32","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379960 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-33","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379967 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-34","2","Controls that render, and do nothing","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","section 2379978 · lexical button #0","target is ""#""","wire to the family modal: a click_publish provider publishing that group's modalParamKey","renders as an in-page anchor; on the annex page these are the five ""Add New …"" buttons","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-35","2","Controls that render, and do nothing","Participation","Participation","/forms/participation","1444280","section 2380071 · lexical button #1","target is empty → renders href=""/admin/forms/participation""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-36","2","Controls that render, and do nothing","Participation","edit","/forms/participation/edit","1714399","section 2380077 · lexical button #1","target is empty → renders href=""/admin/forms/participation/edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-37","2","Controls that render, and do nothing","Participation","single_edit","/forms/participation/single_edit","1444306","section 2380065 · lexical button #2","target is empty → renders href=""/admin/forms/participation/single_edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-38","2","Controls that render, and do nothing","Roles","Roles","/forms/roles","1444244","section 2380274 · lexical button #1","target is empty → renders href=""/admin/forms/roles""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-39","2","Controls that render, and do nothing","Roles","edit","/forms/roles/edit","1715553","section 2380371 · lexical button #1","target is empty → renders href=""/admin/forms/roles/edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-40","2","Controls that render, and do nothing","Roles","single_edit","/forms/roles/single_edit","1444252","section 2380090 · lexical button #2","target is empty → renders href=""/admin/forms/roles/single_edit""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T2-41","2","Controls that render, and do nothing","Roles","view","/forms/roles/view","1715650","section 2380087 · lexical button #2","target is empty → renders href=""/admin/forms/roles/view""","wire CREATE to the page's create modal (click_publish → paramKey ""create"")","the button renders and is clickable but navigates to the page it is already on — verified live on /admin/forms/actions","authoring","yes","T2-17…T2-21 (the trigger half, now with a visible button attached)","","","",""
"T3-01","3","Create modals that are not configured the same way","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","section 2380107","add form 2380107 sits outside any modal group — it renders inline","move the add form into the page's create modal group, or accept it as an inline batch-add","this family's other pages hide the add form behind the create modal; here it renders inline","section config","yes","—","","","",""
"T3-02","3","Create modals that are not configured the same way","Hazards of Concern","edit","/forms/hazards_of_concern/edit","1702741","section 2380098","add form 2380098 sits outside any modal group — it renders inline","move the add form into the page's create modal group, or accept it as an inline batch-add","this family's other pages hide the add form behind the create modal; here it renders inline","section config","yes","—","","","",""
"T3-03","3","Create modals that are not configured the same way","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","section 2379987","navigateUrlOnAdd ""/forms/actions/single_edit?id="" is set but addNewBehaviour is ""clear"", so it is never used","clear navigateUrlOnAdd — addNewBehaviour is ""clear""","dead configuration — reads as if the modal navigates when it does not","section config","yes","—","","","",""
"T3-04","3","Create modals that are not configured the same way","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","section 2379988","navigateUrlOnAdd ""/forms/capabilities/single_edit_new?id="" is set but addNewBehaviour is ""clear"", so it is never used","clear navigateUrlOnAdd — addNewBehaviour is ""clear""","dead configuration — reads as if the modal navigates when it does not","section config","yes","—","","","",""
"T3-05","3","Create modals that are not configured the same way","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","section 2379989","navigateUrlOnAdd ""/forms/hazards_of_concern/single_edit?id="" is set but addNewBehaviour is ""clear"", so it is never used","clear navigateUrlOnAdd — addNewBehaviour is ""clear""","dead configuration — reads as if the modal navigates when it does not","section config","yes","—","","","",""
"T3-06","3","Create modals that are not configured the same way","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","section 2379990","navigateUrlOnAdd ""/forms/participation/single_edit?id="" is set but addNewBehaviour is ""clear"", so it is never used","clear navigateUrlOnAdd — addNewBehaviour is ""clear""","dead configuration — reads as if the modal navigates when it does not","section config","yes","—","","","",""
"T3-07","3","Create modals that are not configured the same way","Roles","edit","/forms/roles/edit","1715553","section 2380370","add form 2380370 sits outside any modal group — it renders inline","move the add form into the page's create modal group, or accept it as an inline batch-add","this family's other pages hide the add form behind the create modal; here it renders inline","section config","yes","—","","","",""
"T3-08","3","Create modals that are not configured the same way","High Hazard Dams","high_hazard_dams","/forms/high_hazard_dams","1444479","page","no create modal and no add form anywhere in this family","add a create modal group + add form, matching the other six families","High Hazard Dams offers no way to add a dam record from the panel","section config","yes","—","","","",""
"T3-09","3","Create modals that are not configured the same way","High Hazard Dams","single_edit","/forms/high_hazard_dams/single_edit","1444469","page","no create modal and no add form anywhere in this family","add a create modal group + add form, matching the other six families","High Hazard Dams offers no way to add a dam record from the panel","section config","yes","—","","","",""
"T4-01","4","Sections published into groups the page does not define","Home","Home","/home","566463","18 sections","groups ""header"", ""3e786688-…"", ""1c1a2e18-…"", ""cdff4236-…"", ""9b890fb9-…"", ""44491ada-…"", ""efacf490-…""","add the group to the page's section_groups, or move the sections into a group it defines","published but never rendered — includes every link Home offers into the form families, which is why Home currently has no links into them at all (verified live: 0 /admin family links on the page)","section config","no","T6 (unchanged)","","","",""
"T4-02","4","Sections published into groups the page does not define","Capabilities","Capabilities","/forms/capabilities","1690288","1 section","group ""4a9d8ef0-…""","add the group to the page's section_groups, or move the sections into a group it defines","published but never rendered","section config","no","T6 (unchanged)","","","",""
"T4-03","4","Sections published into groups the page does not define","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","1 section","group ""4a9d8ef0-…""","add the group to the page's section_groups, or move the sections into a group it defines","published but never rendered","section config","no","T6 (unchanged)","","","",""
"T5-01","5","Data components not set to Force (always re-fetch)","Actions","Actions","/forms/actions","1686109","section 2380157 · #3 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-02","5","Data components not set to Force (always re-fetch)","Actions","card","/forms/actions/card","1686150","section 2380158 · #0 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-03","5","Data components not set to Force (always re-fetch)","Actions","card","/forms/actions/card","1686150","section 2380161 · #3 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-04","5","Data components not set to Force (always re-fetch)","Actions","card","/forms/actions/card","1686150","section 2380162 · #4 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-05","5","Data components not set to Force (always re-fetch)","Actions","edit","/forms/actions/edit","1686224","section 2380172 · #4 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-06","5","Data components not set to Force (always re-fetch)","Actions","edit_simple","/forms/actions/edit_simple","1699496","section 2380167 · #4 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-07","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380186 · #3 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-08","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380187 · #4 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-09","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380188 · #5 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-10","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380189 · #6 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-11","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380190 · #7 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-12","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380191 · #8 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-13","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380192 · #9 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-14","5","Data components not set to Force (always re-fetch)","Actions","single_edit","/forms/actions/single_edit","1699449","section 2380194 · #11 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-15","5","Data components not set to Force (always re-fetch)","Actions","view","/forms/actions/view","1686532","section 2380175 · #2 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
"T5-16","5","Data components not set to Force (always re-fetch)","Actions","view","/forms/actions/view","1686532","section 2380176 · #3 · Card","fetchMode not set → effective ""smart""","Data Fetch Mode → Force (always re-fetch)","only re-queries when the fetch key changes, so an edit made elsewhere can show stale","section config","yes","—","","","",""
