capability_name,source_table,primary_capability_type,secondary_capability_type,confidence,note
Grant Writers,Administrative and Technical,Establishing Long-Term Programs,,medium,"Grant capacity sustains programs; no ""funding"" capability type exists."
Capital improvements project funding,Fiscal,Establishing Long-Term Programs,,medium,"Fiscal mechanism; the vocabulary has no funding type, so the sustaining-programs slot is used."
Ability to incur debt through general obligation bonds,Fiscal,Establishing Long-Term Programs,,medium,As above.
Ability to incur dept through special tax bonds,Fiscal,Establishing Long-Term Programs,,medium,"As above. Source misspells ""debt"" - kept verbatim in capability_name."
Ability to incur debt through private activity bonds,Fiscal,Establishing Long-Term Programs,,medium,As above.
Authority to levy taxes for specific purposes,Fiscal,Establishing Long-Term Programs,,medium,As above.
Authority to utilize user fees for utility services,Fiscal,Establishing Long-Term Programs,,medium,As above.
Authority to withhold public expenditures in hazard prone areas,Fiscal,Codes/Ordinance/Zoning/Policy/Law/Governance,Establishing Long-Term Programs,medium,A governance power that steers development away from hazard areas.
Impact fees for home buyers and/or developers,Fiscal,Establishing Long-Term Programs,Codes/Ordinance/Zoning/Policy/Law/Governance,medium,Fiscal mechanism established by ordinance.
Community Development Block Grants (CDBG),Fiscal,Establishing Long-Term Programs,,high,A named federal program.
State mitigation grant programs,Fiscal,Establishing Long-Term Programs,,high,A named program.
Community Rating System (CRS),Community Classification,Establishing Long-Term Programs,Codes/Ordinance/Zoning/Policy/Law/Governance,high,An ongoing NFIP program earned through floodplain regulation.
Building Code Effectiveness Grading Schedule (BCEGS),Community Classification,Codes/Ordinance/Zoning/Policy/Law/Governance,Establishing Long-Term Programs,high,A rating of code administration.
Public Protection Classification Program,Community Classification,Preparedness & Response,Establishing Long-Term Programs,high,An ISO rating of fire-response capability.
Other Classifications,Community Classification,Establishing Long-Term Programs,,low,"Catch-all label; the real content is in the description. Flagged gap-weak in the crosswalk."
